MED_DIRECTIONS,FREQUENCY
Take 20 mg by mouth daily,302
1 tablet by mouth every 4 hours for five days as needed for pain,302
(Also Known As Valtrex) 1 tablet by mouth every 8 hours for 7 days,302
1mg 1 tablet by mouth at bedtime,302
20 MEQ 1 tablet by mouth daily,301
apply to face every night,301
1-2 tablets by mouth every 6 hours as needed for nausea,301
(Also Known As Cymbalta) 1 capsule by mouth every evening at bedtime,301
10 meQ once daily,301
325mg one tablet daily,301
"(Also Known As Catapres-TTS-1) 1 patch on dry, cleaned skin every week",301
20/25mg by mouth daily,301
topically as needed,301
5 mg orally every twelve hours,301
20 mg orally every 8 hours,301
(Also Known As Norco) 1 tablet by mouth twice a day as needed for pain,301
50 mg tablet 1 tablet by mouth daily,301
to be used to check BG daily and prn,301
1000mg one daily,301
(Also Known As Catapres) 1 tablet by mouth daily,301
325mg one tab by mouth daily,301
50 mg i po daily,301
"Take as directed according to package,",301
"300 mg orally twice daily, at 10:00 and 18:00",301
(Also Known As Tofranil) 1 tablet by mouth every evening at bedtime,300
20mg 1 tab po qd ,300
7 milliliters by mouth twice a day for 10 days,300
150 mg one by mouth daily,300
(Also Known As Lortab) 1 tablet by mouth every 6 hours for 14 days as needed for pain,300
1 tablet by mouth every morning for 30 day(s),300
0.5mg 1 tablet by mouth twice daily,300
10mg one tablet by mouth as needed,300
20mg 2 tablets by mouth daily,300
500mg one tab by mouth twice daily,300
(Also Known As Naprosyn) 1 tablet by mouth every 12 hours for 14 days,300
(Also Known As Celexa) 2 tablets by mouth daily,300
2.5mg One tablet by mouth daily ,300
10mg 1/2 tablet by mouth daily,299
10 mg by mouth daily - per pt,299
10mg  1 tab by mouth twice daily,299
75 mg one tab by mouth daily,299
0.6 milliliters (15 mg) subcutaneously every week,299
1 tablet by mouth daily for 91 days,299
1-2 puffs from the inhaler every four or six hours as needed for shortness of breath,299
1 MG IV every 4 hours as needed,299
1 tablet by mouth three times a day for 14 day(s),299
(Also Known As Flonase) 1 spray in each nostril twice a day for 30 day(s),299
20mg one capsule by mouth daily,299
Check blood sugar 6 times daily,298
81mg one po daily,298
1200 mg twice daily,298
"(Also Known As Exelon) 1 patch on dry, cleaned skin daily",298
1 APPLICATION TOPICAL once a week,298
20mg 1 tab by mouth once daily,298
5mg twice daily by mouth ,298
40mg take one by mouth daily,298
1 tablet by mouth every 12 hours for ten days,298
750 mg orally every twelve hours,298
50000 units by mouth weekly ,298
(Also Known As Cleocin) 1 capsule by mouth every 8 hours for 5 days,298
5 milliliters by mouth four times a day for 7 days,298
1 tablet by mouth every evening at bedtime for 5 days,298
240mg once daily,298
18 mcg 1 inhalation daily,298
(ZOFRAN ODT) 1 tablet by mouth every 8 hours as needed for nausea,298
4 milliliters by mouth daily,298
50 mg 1 tablet by mouth at bedtime,297
1 tablet by mouth every 8 hours for 7 days as needed for muscle spasms,297
take one tablet twice a day,297
1 capsule by mouth weekly,297
(Also Known As Malarone) 1 tablet by mouth daily for 24 day(s),297
(Pravachol) 1 tablet by mouth daily,297
one capsule daily by mouth,297
monthly injection,297
take as directed as needed,297
(Also Known As Singulair) 1 tablet by mouth daily for 90 day(s),297
1-2 tablets by mouth every 4-6 hours for 5 days as needed for pain,297
(Also Known As Tussionex Pennkinetic ER) 5 milliliters by mouth every 12 hours for 10 days,297
0.25mg 1 tablet by mouth daily,297
25mcg once daily,297
50mg 1 tablet twice daily,297
0.1mg twice daily,296
(Also Known As Glucophage XR) 4 tablets by mouth daily,296
10mg take one by mouth once daily,296
200mg two tablets by mouth as needed,296
1 mg by mouth at bedtime,296
1-3 tablets by mouth every evening at bedtime,296
1 tablet by mouth twice a day for 5 days as needed for pain,296
2 capsules by mouth every 12 hours,296
1 drop in the left eye daily beginning 2 days prior to surgery,296
(Also Known As Seroquel) 1 tablet by mouth twice a day,296
5000 international units 1 tablet by mouth daily,296
(Zestril) 1 tablet by mouth daily,296
1000 mg every 8 hours for until discontinued,296
(Also Known As Glumetza) 1 tablet by mouth twice a day,296
40mg 1 tab by mouth once daily,296
"40mg, 1 tablet by mouth daily",296
1 capsule by mouth four times a day for 10 days,295
apply to the affected area(s) by topical route 4 times per day,295
81 mg tab by mouth daily,295
(Also Known As Hyzaar) 1 tablet by mouth every morning,295
10 mg once daily orally,295
two puffs twice daily,295
two sprays each nostril daily,295
(Also Known As Zoloft) 3 tablets by mouth daily,295
one tablet by mouth once each day,295
1mg tablet by mouth daily,295
2 mg by mouth twice daily,295
Apply to affected areas twice daily.,295
75 mg 1 tablet by mouth once daily,295
40mg one tab po daily,295
10 mg by mouth once daily as needed,294
81mg 1 tab daily po,294
80 mg 1 tab by mouth daily,294
17 gm orally once daily as needed,294
(Also Known As Restoril) 1 capsule by mouth every evening at bedtime,294
10mg three times a day,294
1 tablet by mouth every 4 hours for 14 days,294
7.5 mg 1 tablet by mouth daily,294
40 mg tablet (Also Known As Lipitor) 1 tablet by mouth every evening at bedtime,294
325 MG AS NEEDED,294
5000 units once daily,294
1 tablet by mouth every 6 hours as needed for anxiety,294
300 mg 1 tab daily,294
250/50 one puff twice daily,294
5/325mg by mouth as needed,294
1 tablet by mouth weekly,294
"5mg orally once daily, in the morning",294
81mg  one tablet by mouth daily ,294
3 lancets miscellaneous daily,294
40mg 1 tablet by mouth once a day,294
4 tablets by mouth every morning,293
0.4mg SL as needed for chest pain,293
(Also Known As Xanax) 1 tablet by mouth daily,293
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 8 hours for 2 day(s) as needed for nausea,293
10mg 1 po twice daily,293
x mg 1 tablet twice daily,293
1 tablet by mouth every 8 hours for 5 days as needed for muscle spasms,293
0.8 milliliters (20 mg) subcutaneously every week,293
"Please dispense one meter kit, use as directed.",293
5 mg Tab 1 tablet by mouth daily,293
(Also Known As Dilaudid) 1 tablet by mouth every 4 hours as needed for pain,293
81mg by mouth  daily,293
(Also Known As Ambien) 1 tablet by mouth every evening at bedtime as needed for sleep,293
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 8 hours,293
0.1mg once daily,293
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 3 days,292
7.5 mg orally at bedtime,292
20mg 1 tab twice daily,292
1-2 tablets by mouth every four or six hours for 30 day(s) as needed for pain,292
Spread even layer of bacitracin onto xeroform and apply directly to wound.,292
5000IU once daily,292
1 capsule by mouth before each meal,292
2 puffs twice daily as needed,292
"1 patch on dry, cleaned skin daily for 14 days",292
20mg once by mouth daily,292
800 mg by mouth daily,292
1-2 tablets by mouth every 6 hours for 5 days as needed for pain,292
inhale 1 puff by inhalation route 4 times per day ; may take additional puffs as needed not to exceed 6 puffs in 24hrs,291
1 chewable tablet by mouth every evening at bedtime,291
10 mg one tablet by mouth daily as needed,291
1000mg one by mouth twice daily,291
(Also Known As Keppra) 4 milliliters (400 mg) by mouth twice a day,291
200mg oral daily,291
"Take two tablets daily at bedtime for 1-2 weeks, if no benefit may increase to 3 tabs at bedtime, max dose. Use for social situations and camps.",291
500mg 1 tablet by mouth once daily,291
(Also Known As Zyprexa) 1 tablet by mouth twice a day,291
(Also Known As Deltasone) 2 tablets by mouth daily for 4 days,291
0.5mg at bedtime,291
1 capsule by mouth every 8 hours as needed for headache,291
1 tab orally every 8 hours as needed,291
4 mg orally once daily,291
100 mg one by mouth twice a day,291
?mg by mouth once daily,290
10/12.5mg by mouth daily,290
4 liters by mouth one time only,290
(Also Known As Keppra) 2 milliliters (200 mg) by mouth twice a day,290
300 mg by mouth at bedtime,290
eye drops twice daily,290
30 mg 1 Tab Daily,290
10mg take 1 tab daily,290
5 pen needles miscellaneous daily,290
50mg 1 tab po bid,290
10 mg at bedtime  for until discontinued,290
1 tablet by mouth three times a day for 10 day(s),290
200mg 1 tab daily,290
60 mg 1 tab daily,290
"1,000 International Units by mouth daily",290
125 mcg tablet 1 tablet by mouth daily,289
1000 mg orally every 6 hours as needed,289
10mg 3 times daily,289
325 mg twice daily,289
(Also Known As Ilotycin) 1 centimeters in eyes as directed three times a day for 7 days,289
81 mg tablet take one tablet by mouth daily,289
10MG po daily prn,289
325 mg 1 tablet once daily,289
Take as directed over 6 days - take with food,289
one capsule by mouth once daily ,289
"20 un sub cutaneous once daily, at bedtime",289
250mg 1 tab by mouth daily ,288
1 vial subcutaneously one time only,288
2 tablets by mouth every 6 hours for 14 days,288
20mg take one by mouth once daily,288
0.4mg 1 po daily,288
5000 mcg by mouth daily,288
100 mg one tablet daily,288
20mg takes 1 tablet by mouth daily,288
10 MG orally every 8 hours as needed,288
(Also Known As Zofran ODT) 1 tablet by mouth every 8 hours for 10 days as needed for nausea,288
50mcg 2 sprays in each nostril daily,288
30mg 1 tablet daily,288
0.125mg po daily,288
0.05mg by mouth daily,288
2.5 MG for inhalation every 4 hours as needed,288
25 mg every 12 hours for until discontinued,288
25 mg 1 tab po daily,288
1 mg by mouth three times daily,288
1 tablet by mouth daily as needed for allergies,288
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 2 day(s) as needed for nausea,288
5 mg tablet daily,288
0.4mg one tablet by mouth daily,288
(Also Known As Pamelor) 1 capsule by mouth daily,288
5 milliliters (100 mg) by mouth every 6 hours as needed for fever,288
0.4 mg sub lingual every 5 minutes as needed give 1 tab q 5 min. prn chest pain up to 3 tabs max. after 3 tabs notify md/house officer for persistent chest pain.,288
220mg by mouth as needed,287
320mg by mouth daily,287
(Also Known As Fortamet) 2 tablets by mouth daily,287
300mg orally daily,287
5 drops in each affected ear twice a day for 10 days,287
(Also Known As DILT-XR) 1 capsule by mouth daily,287
10mg po daily as needed,287
2 sprays in each nostril as needed,287
160 mg 1 tablet by mouth daily,287
300mg by mouth three times a day,287
1 tablet by mouth three times a day for 30 day(s) as needed for pain,287
325 mg 1 tablet daily,287
81mg 1 tablet daily by mouth,286
Take 1 tablet by mouth Every Night.,286
1 SPRAY PER NOSTRIL DAILY,286
5mg  1 tab by mouth daily,286
81 mg po once daily,286
250 mg orally once daily,286
20mg one pill by mouth daily,286
1 tablet by mouth three times a day for 5 days as needed for nausea,286
4 milliliters by mouth twice a day for 10 days,286
500mg  1 tab by mouth twice daily,286
(Also Known As Zonegran) 3 capsules by mouth every evening at bedtime,286
175mcg by mouth daily,286
(Also Known As Robinul) 1 tablet by mouth twice a day,286
100 mg one tab daily ,286
(Also Known As Norvasc) 1 tablet by mouth every evening,286
200mg once daily by mouth,286
25 mg daily for until discontinued,286
1 mg IM prn severe hypoglycemia,286
1 milliliter (125 mg) subcutaneously every week,286
4 drops in each affected ear twice a day for 7 days as needed for drainage,286
40mg one pill by mouth daily,286
2.5 mg twice daily,285
50 mg one orally twice daily,285
81 mg by mouth every morning,285
1 tablet by mouth twice a day for 5 day(s),285
(Also Known As Accupril) 1 tablet by mouth twice a day,285
(Also Known As Voltaren-XR) 1 tablet by mouth daily,285
10mg 1 daily by mouth,285
4 drops in each affected ear twice a day for 7 days as needed for ear drainage,285
1 tablet by mouth at night,285
(Also Known As Malarone) 1 tablet by mouth daily for 15 day(s),285
2000 units daily by mouth,285
20mg 1 daily by mouth,285
10mg  1 tab by mouth as needed,285
300 mg once daily by mouth,285
0.8 milliliters (40 mg) subcutaneously every other week,285
25mg by mouth every 6 hours as needed,285
Take two tablets on first day then one tablet daily for four more days.,284
daily for allergies,284
80mg 1 tab po daily,284
3 capsules by mouth every morning,284
25mg tablet by mouth twice daily,284
5 milliliters (400 mg) by mouth twice a day for 10 day(s),284
(Flonase) 1 spray in each nostril daily,284
15 mg by mouth twice daily,284
1 tablet by mouth daily as needed for ED,284
(Also Known As Remeron) 0.5 tablet by mouth every evening at bedtime,284
0.5 mg one tablet by mouth daily,284
gargle and spit 2-3 tsp every 4-6 hours as needed for pain,284
1 tablet by mouth three times a day as needed for abdominal pain,284
2 tablets by mouth three times a day for 5 days,283
1 capsule once daily,283
137mcg by mouth daily,283
1mg by mouth three times daily,283
5 milliliters by mouth three times a day,283
1500 mg by mouth daily,283
inject 1 pen (50mg) subcutaneously every week,283
20 mg orally every 6 hours as needed,283
"81mg, 1 tablet by mouth daily",283
10 mg take 1 tab by mouth daily,283
200mg 1 capsule by mouth daily,283
(Also Known As MS Contin) 1 tablet by mouth every 12 hours for 14 days,283
100 MG orally twice daily as needed for constipation,283
250 mg twice daily,283
10mg 1/2 tab by mouth daily,282
by mouth occasionally,282
1 tablet by mouth twice a day for 4 days,282
40 mg one tablet daily by mouth,282
(Also Known As Naprosyn) 1 tablet by mouth at the first sign of symptoms for 30 day(s) as needed for migraine,282
Take 10 mg by mouth one (1) time a day,282
1 puff from the inhaler every 4 hours for 10 days as needed for cough,282
80 mg by mouth twice daily,282
1 drop in both eyes three times a day for 30 days,282
apply to the affected area(s) by topical route 2 times per day in the morning and at bedtime,282
Take 100 mg by mouth 2 (two) times a day.,282
40mg takes one by mouth daily,282
(Keppra) 1 tablet by mouth twice a day,282
10mg 1 tab twice daily,282
400 MG orally daily,282
5 MG orally every 12 hours,282
100mg po once daily,282
1200 mg one tablet by mouth daily,282
10 milliliters by mouth twice a day,282
650 MG in tube every 6 hours as needed,281
0.5 mg orally every 6 hours as needed,281
1 grams into the vagina as directed twice a week,281
7.5mg 1 tab by mouth daily,281
75 mcg tablet 1 tablet by mouth daily,281
(Also Known As Colazal) 3 capsules by mouth three times a day,281
2 chewable tablets by mouth daily,281
